, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
abandoned ^vbd+++xvbn+=abandoned
the ^ati++++=the
stage ^nn++++=stage
and ^cc++++=and
the ^ati++++=the
society ^nn++++=society
in ^in++++=in
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
to ^in++++=to
end ^nn++++=end
her ^pp$+pp3+++=her
days ^nns++++=days
repentantly ^rb++++=repentantly
in ^in++++=in
the ^ati++++=the
character ^nn+nom+++=character
of ^in++++=of
a ^at++++=a
Carmelite ^np+++??+=Carmelite
nun ^nn++++=nun.
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
history ^nn++++=history
is ^vbz+bez+vrb++=is
the ^ati++++=the
history ^nn++++=history
of ^in++++=of
hundreds ^cds++++=hundreds
of ^in++++=of
other ^ap++++=other
women ^nns++++=women
before ^in++++=before
her ^pp$+pp3+++=her
time ^nn++++=time
and ^cc++++=and
after ^in++++=after
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prominent ^jj+atrb+++=prominent
interest ^nn++++=interest
of ^in++++=of
her ^pp$+pp3+++=her
life ^nn++++=life,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
student ^nn++++=student
of ^in++++=of
human ^jj+atrb+++=human
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
lies ^vbz++++=lies
in ^in++++=in
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
her ^pp$+pp3+++=her
conversion ^nn++++=conversion,
, ^zz++++=EXTRAWORD
as ^in++++=as
told ^nn++++=told
by ^in++++=by
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
greater ^jjr+atrb+++=greater
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
narrative ^nn++++=narrative--every
-- ^--+clp+++=EXTRAWORD
every ^at++++=EXTRAWORD
page ^nn++++=page
of ^in++++=of
which ^whp+rel+pied++=which
is ^vbz+bez+vrb++=is
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
characteristic ^nn++++=characteristic
of ^in++++=of
the ^ati++++=the
Frenchwoman ^nn+nom+++=Frenchwoman
of ^in++++=of
the ^ati++++=the
eighteenth ^od++++=eighteenth
century ^nn++++=century--may
-- ^--+clp+++=EXTRAWORD
may ^md+pos+++=EXTRAWORD
be ^vb+be+aux++=be
given ^vpsv++agls+xvbnx+=given,
, ^zz++++=EXTRAWORD
with ^in++++=with
certain ^jj+atrb+++=certain
suppressions ^nns+++??+=suppressions
and ^cc++++=and
abridgments ^nns+nom+++=abridgments,
, ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
own ^ap++++=own
words ^nns++++=words.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reader ^nn++++=reader
will ^md+prd+++=will
observe ^vb+vprv+++=observe,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
outset ^nn++++=outset,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
curious ^jj+atrb+++=curious
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
Mademoiselle ^np+++??+=Mademoiselle
Gautier ^np+++??+=Gautier
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
hint ^nn++++=hint
at ^in++++=at
the ^ati++++=the
influence ^nn+nom+++=influence
which ^whp+rel+obj++=which
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
her ^pp$+pp3+++=her
lover ^nn++++=lover
had ^vb+hv+vrb++=had
in ^in++++=in
disposing ^xvbg+++xvbg+=disposing
her ^pp$+pp3+++=her
mind ^nn++++=mind
to ^to++++=to
reflect ^vbi+vprv+++=reflect
on ^in++++=on
serious ^jj+atrb+++=serious
subjects ^nns++++=subjects.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
describes ^vbz++++=describes
her ^pp$+pp3+++=her
conversion ^nn++++=conversion
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
its ^pp$+it+++=its
rise ^nn++++=rise
in ^in++++=in
a ^at++++=a
sudden ^jj+atrb+++=sudden
