, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
to ^to++++=to
judge ^vbi++++=judge
from ^in++++=from
Miss ^npt++++=Miss
Persis ^np++++=Persis,
, ^zz++++=EXTRAWORD
never ^rb++++=never
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
come ^vbi++++=come
away ^rp+pl+++=away
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
reverential ^jj+atrb+++=reverential
enthusiasm ^nn++++=enthusiasm.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
help ^vb++++=help
picturing ^jj+++xvbg+=picturing
to ^in++++=to
myself ^ppl+pp1+++=myself
the ^ati++++=the
great ^jj+atrb+++=great
lady ^npt++++=lady
as ^ql++++=as
about ^in++++=about
six ^cd++++=six
feet ^nns++++=feet
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
clad ^jj++++=clad
in ^in++++=in
purple ^jj+atrb+++=purple
velvet ^nn++++=velvet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waving ^vbg+++xvbg+=waving
a ^at++++=a
peacock ^nn++++=peacock-feather
- ^zz++++=EXTRAWORD
feather ^nn++++=EXTRAWORD
fan ^nn++++=fan;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
never ^rb++++=never
confided ^vbd+++xvbn+=confided
my ^pp$+pp1+++=my
imaginings ^nns+++??+=imaginings
even ^rb++++=even
to ^in++++=to
the ^ati++++=the
sympathetic ^jj+atrb+++=sympathetic
Miss ^npt++++=Miss
Persis ^np++++=Persis.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
my ^pp$+pp1+++=my
friend ^nn++++=friend
returned ^vbd+++xvbn+=returned
from ^in++++=from
a ^at++++=a
visit ^nn++++=visit
to ^in++++=to
the ^ati++++=the
stone ^nn++++=stone
house ^npl++++=house,
, ^zz++++=EXTRAWORD
quite ^rb++++=quite
breathless ^jj++++=breathless,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
pretty ^rb++++=pretty
old ^jj+atrb+++=old
face ^nn++++=face
pink ^jj++++=pink
with ^in++++=with
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
down ^rb+phrv+++=down
on ^in++++=on
the ^ati++++=the
chair ^nn++++=chair
nearest ^jjt++++=nearest
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gazed ^vbd+++xvbn+=gazed
at ^rb++++=at
me ^pp1o+pp1+++=me
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
speechless ^jj+atrb+++=speechless
emotion ^nn+nom+++=emotion.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj+atrb+++=EXTRAWORD
Miss ^npt++++=Miss
Persis ^np++++=Persis!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened?
? ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
had ^vb+hv+vrb++=had
bad ^jj+atrb+++=bad
news ^nn++++=news?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Persis ^np++++=Persis
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Bad
bad ^jj+atrb+++=EXTRAWORD
news ^nn++++=news?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
think ^vb+vprv+++=think
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!
! ^zz++++=EXTRAWORD
Child ^nn++++=Child,
, ^zz++++=EXTRAWORD
Madam ^npt++++=Madam
Le ^&fw++++=Le
Baron ^npt++++=Baron
wishes ^vb++++=wishes
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
More ^ql++++=More
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
