B.c ^rb++++=B.C.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Gauls ^np+++??+=Gauls
conquering ^vwbg+++xvbg+=conquering
from ^in++++=from
the ^ati++++=the
north ^np+pl+++=north
and ^cc++++=and
the ^ati++++=the
Romans ^nn++++=Romans
from ^in++++=from
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
two ^cd++++=two
fierce ^jj+atrb+++=fierce
nations ^nns+nom+++=nations
at ^rb++++=at
length ^rb"++++=length
came ^vbd+++xvbn+=came
against ^in++++=against
one ^cd1++++=one
another ^dt++++=another.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
Roman ^jj+atrb+++=Roman
story ^nn++++=story
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
it ^pp3+it+++=it
happened ^vbd+++xvbn+=happened
thus ^rb+cnj+++=thus:
: ^zz++++=EXTRAWORD
The ^ati++++=The
Gauls ^np+++??+=Gauls
had ^vb+hv+vrb++=had
an ^at++++=an
unusually ^rb++++=unusually
able ^jj+atrb+++=able
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
Latin ^jj+atrb+++=Latin
historians ^nns++++=historians
call ^vb++++=call
Brennus ^np+++??+=Brennus,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
whose ^whp+who+++=whose
real ^jj+atrb+++=real
name ^nn++++=name
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
likely ^jj+atrb+++=likely
Bran ^np+++??+=Bran,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+subj++=who
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
come ^vprf+++xvbn+=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
Britain ^np++++=Britain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
a ^at++++=a
great ^jj+atrb+++=great
host ^nn++++=host
of ^in++++=of
Gauls ^np+++??+=Gauls
to ^in++++=to
attack ^nn++++=attack
Clusium ^np+++??+=Clusium,
, ^zz++++=EXTRAWORD
a ^at++++=a
Tuscan ^jj+atrb+++=Tuscan
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
sent ^vbd+++xvbn+=sent
to ^in++++=to
Rome ^np++++=Rome
to ^in++++=to
entreat ^nn+++??+=entreat
succor ^vb++++=succor.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
ambassadors ^nns++++=ambassadors,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers
of ^in++++=of
the ^ati++++=the
noble ^jj+atrb+++=noble
old ^jj+atrb+++=old
family ^nn++++=family
of ^in++++=of
Fabius ^np+++??+=Fabius,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
sent ^vpsv++agls+xvbnx+=sent
from ^in++++=from
Rome ^np++++=Rome
to ^in++++=to
intercede ^nn+++??+=intercede
for ^in++++=for
the ^ati++++=the
Clusians ^np+++??+=Clusians.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
asked ^vbd+vsua++xvbnx+=asked
Brennus ^np+++??+=Brennus
what ^wdt+who+++=what
harm ^nn++++=harm
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
Clusium ^np+++??+=Clusium
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
the ^ati++++=the
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
thus ^rb+cnj+++=thus
made ^vbd+++xvbn+=made
war ^nn++++=war
on ^in++++=on
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Plutarch ^np++++=Plutarch's
's ^$++++=EXTRAWORD
account ^nn++++=account,
, ^zz++++=EXTRAWORD
Brennus ^np+++??+=Brennus
made ^vbd+++xvbn+=made
answer ^vb++++=answer
that ^tht+vcmp+obj++=that
the ^ati++++=the
injury ^nn++++=injury
