B.c ^rb++++=B.C.
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
stroked ^j+++xvbn+=stroked
his ^pp$+pp3+++=his
beard ^nn++++=beard.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
insult ^nn++++=insult
from ^in++++=from
an ^at++++=an
uncouth ^jj++++=uncouth
barbarian ^jj++++=barbarian
was ^vbd+bedz+vrb++=was
more ^ql++++=more
than ^cs+sub+++=than
Roman ^jj+atrb+++=Roman
blood ^nn++++=blood
could ^md+pos+++=could
brook ^vb++++=brook,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Gaul ^np++++=Gaul
soon ^rb+tm+++=soon
had ^vb+hv+aux++=had
his ^pp$+pp3+++=his
doubt ^vb++++=doubt
satisfied ^vpsv++by+xvbn+=satisfied
by ^in++++=by
a ^at++++=a
sharp ^jj+atrb+++=sharp
blow ^nn++++=blow
on ^in++++=on
the ^ati++++=the
head ^nn++++=head
from ^in++++=from
the ^ati++++=the
ivory ^nn++++=ivory
staff ^nn++++=staff.
. ^zz++++=EXTRAWORD
All ^abn++++=All
reverence ^nn+nom+++=reverence
was ^vbd+bedz+aux++=was
dispelled ^vpsv++by+xvbnx+=dispelled
by ^in++++=by
that ^dt+dem+++=that
stroke ^nn++++=stroke;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
at ^rb++splt++=at
once ^rb"+tm+++=once
returned ^vpsv++by+xvbn+=returned
by ^in++++=by
a ^at++++=a
death ^nn++++=death
thrust ^vbd+++xvbn+=thrust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
fury ^nn++++=fury
of ^in++++=of
the ^ati++++=the
savages ^nns+nom+++=savages
wakening ^vwbg+++xvbg+=wakening
in ^in++++=in
proportion ^nn+nom+++=proportion
to ^in++++=to
the ^ati++++=the
awe ^nn++++=awe
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
at ^rb++splt++=at
first ^rb"++++=first
struck ^vbd+++xvbn+=struck
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
rushed ^vbd+++xvbnx+=rushed
on ^in++++=on
the ^ati++++=the
old ^jj+atrb+++=old
senators ^nns++++=senators,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
slew ^nn+++??+=slew
each ^dt++++=each
one ^pn++++=one
in ^in++++=in
his ^pp$+pp3+++=his
curule ^nn+++??+=curule
chair ^nn++++=chair.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
they ^pp3a+pp3+++=they
dispersed ^vbd+++xvbnx+=dispersed
through ^in++++=through
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
burning ^jj+++xvbg+=burning,
, ^zz++++=EXTRAWORD
plundering ^jj+++xvbg+=plundering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
destroying ^vbg+++xvbg+=destroying.
. ^zz++++=EXTRAWORD
To ^to++++=To
take ^vbi++++=take
the ^ati++++=the
Capitol ^np++++=Capitol
they ^pp3a+pp3+++=they
soon ^rb+tm+++=soon
found ^vbd+vprv++xvbn+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
beyond ^in++++=beyond
their ^pp$+pp3+++=their
power ^nn++++=power,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
hoped ^vbd+vprv++xvbnx+=hoped
to ^to+vcmp+++=to
starve ^vbi++++=starve
the ^ati++++=the
defenders ^nns+nom+++=defenders
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
meantime ^nn++++=meantime
they ^pp3a+pp3+++=they
spent ^vbd+++xvbnx+=spent
their ^pp$+pp3+++=their
time ^nn++++=time
in ^in++++=in
pulling ^xvbg+++xvbg+=pulling
down ^rp++++=down
the ^ati++++=the
outer ^jjb+atrb+++=outer
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
houses ^nns++++=houses
and ^cc++++=and
temples ^nns++++=temples
as ^ql++++=as
had ^vbd+hvd+aux++=had
resisted ^vprf+++xvbnx+=resisted
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
the ^ati++++=the
defenders ^nns+nom+++=defenders
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol
looked ^vbd+++xvbn+=looked
down ^rp++++=down
from ^in++++=from
their ^pp$+pp3+++=their
height ^nn++++=height
on ^in++++=on
nothing ^pn++++=nothing
but ^cc++++=but
desolate ^jj++++=desolate
black ^jj++++=black
burnt ^vwbn+++xvbn+=burnt
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
heaps ^nns++++=heaps
of ^in++++=of
ruins ^nns++++=ruins
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
barbarians ^nps++++=barbarians
roaming ^nn++++=roaming
about ^in++++=about
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
driving ^nvbg+++xvbg+=driving
in ^in++++=in
the ^ati++++=the
cattle ^nns++++=cattle
that ^tht+rel+obj++=that
their ^pp$+pp3+++=their
foraging ^jj+atrb++xvbg+=foraging
parties ^nns++++=parties
collected ^vwbn+++xvbn+=collected
from ^in++++=from
the ^ati++++=the
country ^nn++++=country
round ^nn++++=round.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
much ^ap++++=much
earnest ^nn++++=earnest
faith ^nn++++=faith
in ^in++++=in
their ^pp$+pp3+++=their
own ^ap++++=own
religion ^nn++++=religion
among ^in++++=among
the ^ati++++=the
Romans ^nn++++=Romans:
: ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
took ^vbd+++xvbnx+=took
all ^rb++++=all
this ^dt+dem+++=this
ruin ^nn++++=ruin
as ^ql++++=as
the ^ati++++=the
just ^rb+emph+++=just
reward ^nn++++=reward
of ^in++++=of
their ^pp$+pp3+++=their
shelter ^nn++++=shelter
of ^in++++=of
the ^ati++++=the
Fabii ^np+++??+=Fabii,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
in ^in++++=in
their ^pp$+pp3+++=their
extremity ^nn+nom+++=extremity
were ^vbd+bed+aux++=were
resolved ^vpsv++agls+xvbnx+=resolved
not ^xnot++not++=not
to ^to++++=to
transgress ^nns+nom+++=transgress
any ^dti++++=any
sacred ^jj+atrb+++=sacred
rule ^nn++++=rule.
. ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
food ^nn++++=food
daily ^rb++++=daily
became ^vbd+++xvbn+=became
more ^rbr++++=more
scarce ^jj++++=scarce
and ^cc++++=and
starvation ^nn+nom+++=starvation
was ^vbd+bedz+aux++=was
fast ^rb++splt++=fast
approaching ^vbg+++xvbgx+=approaching,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
sacred ^jj+atrb+++=sacred
geese ^nns++++=geese
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
in ^rb+phrv+++=in
Juno ^np++++=Juno's
's ^$++++=EXTRAWORD
Temple ^np++++=Temple
was ^vbd+bedz+aux++=was
touched ^vpsv++agls+xvbnx+=touched;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
Fabius ^np+++??+=Fabius
Dorso ^np+++??+=Dorso,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
believed ^vprf+++xvbn+=believed
that ^tht+vcmp+++=that
the ^ati++++=the
household ^nn++++=household
gods ^nns++++=gods
of ^in++++=of
his ^pp$+pp3+++=his
family ^nn++++=family
required ^vbd+++xvbn+=required
yearly ^rb++++=yearly
a ^at++++=a
sacrifice ^nn++++=sacrifice
on ^in++++=on
their ^pp$+pp3+++=their
own ^ap++++=own
festival ^nn+nom+++=festival
day ^nn++++=day
on ^in++++=on
the ^ati++++=the
Quirinal ^np+nom++??+=Quirinal
Hill ^np++++=Hill,
, ^zz++++=EXTRAWORD
arrayed ^vwbn+++xvbn+=arrayed
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
white ^jj+atrb+++=white
robes ^nns++++=robes
of ^in++++=of
a ^at++++=a
sacrificer ^jjr++++=sacrificer,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
his ^pp$+pp3+++=his
sacred ^jj+atrb+++=sacred
images ^nns++++=images
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
ruins ^nns++++=ruins
to ^in++++=to
the ^ati++++=the
accustomed ^nn++++=accustomed
alter ^vb++++=alter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
preformed ^vprf+++xvbn+=preformed
the ^ati++++=the
regular ^jj+atrb+++=regular
rites ^nns++++=rites.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
religious ^jj+atrb+++=religious
ceremony ^nn++++=ceremony,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
pass ^vb++++=pass
through ^rp++++=through
them ^pp3o+pp3+++=them
untouched ^jj++++=untouched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
in ^in++++=in
safety ^nn++++=safety;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Brennus ^np+++??+=Brennus
was ^vbd+bedz+aux++=was
resolved ^vpsv++agls+xvbnx+=resolved
on ^in++++=on
completing ^xvbg+++xvbg+=completing
his ^pp$+pp3+++=his
conquest ^nn++++=conquest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
half ^abn++++=half
his ^pp$+pp3+++=his
forces ^nns++++=forces
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
to ^in++++=to
plunder ^nn++++=plunder,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
half ^nn++++=half,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
moment ^nn++++=moment
to ^in++++=to
effect ^nn++++=effect
an ^at++++=an
entrance ^nn+nom+++=entrance
into ^in++++=into
the ^ati++++=the
Capitol ^np++++=Capitol;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+whq++=how
were ^vbd+bed+aux++=were
the ^ati++++=the
defenders ^nns+nom+++=defenders,
, ^zz++++=EXTRAWORD
worn ^j+++xvbn+=worn
out ^rp+pl+++=out
with ^in++++=with
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
to ^to++++=to
resist ^vbi++++=resist
without ^in++++=without
relief ^nn++++=relief
from ^in++++=from
without ^in+strn+++=without?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
to ^to++++=to
bring ^vbi++++=bring
relief ^nn++++=relief
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
themselves ^ppls+pp3+++=themselves
the ^ati++++=the
Roman ^jj+atrb+++=Roman
State ^nn++++=State
and ^cc++++=and
government ^nn+nom+++=government?
? ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
citizen ^nn++++=citizen,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Marcus ^np++++=Marcus
Furius ^np+++??+=Furius
Camillus ^np+++??+=Camillus,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
without ^in++++=without
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
soldier ^nn++++=soldier
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
several ^ap++++=several
of ^in++++=of
the ^ati++++=the
chief ^jjb+atrb+++=chief
Italian ^jj+atrb+++=Italian
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
that ^cs+sub+++=that
of ^in++++=of
Veii ^np+++??+=Veii,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
most ^ql+emph+++=most
dangerous ^jj+atrb+++=dangerous
enemy ^nn++++=enemy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
proud ^jj+atrb+++=proud,
, ^zz++++=EXTRAWORD
haughty ^jj+atrb+++=haughty
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
on ^in++++=on
himself ^ppl+pp3+++=himself
much ^ap++++=much
dislike ^nn++++=dislike;
; ^zz++++=EXTRAWORD
until ^in++++=until,
, ^zz++++=EXTRAWORD
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
a ^at++++=a
false ^jj+atrb+++=false
accusation ^nn+nom+++=accusation
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
against ^in++++=against
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
an ^at++++=an
unfair ^jj+atrb+++=unfair
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
plunder ^nn++++=plunder
of ^in++++=of
Veii ^np+++??+=Veii.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
too ^ql++++=too
proud ^jj++++=proud
to ^to+jcmp+++=to
stand ^vbi++++=stand
a ^at++++=a
trial ^nn++++=trial;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
immediately ^rb+tm+splt++=immediately
fined ^vpsv++agls+xvbnx+=fined
a ^at++++=a
considerable ^jj+atrb+++=considerable
sum ^nn++++=sum.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
abode ^nn++++=abode
at ^in++++=at
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
Ardea ^np+++??+=Ardea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there
living ^nvbg+++xvbg+=living
when ^wrb+who+++=when
the ^ati++++=the
plundering ^jj+++xvbg+=plundering
half ^abn++++=half
of ^in++++=of
Brennus ^np+++??+=Brennus'
' ^zz++++=EXTRAWORD
army ^nn++++=army
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
coming ^vbg+++xvbgx+=coming
thither ^rb++++=thither.
. ^zz++++=EXTRAWORD
Camillus ^np+++??+=Camillus
immediately ^rb+tm+++=immediately
offered ^vbd+++xvbn+=offered
the ^ati++++=the
magistrates ^nns+nom+++=magistrates
to ^to++++=to
undertake ^vbi++++=undertake
their ^pp$+pp3+++=their
defense ^nn+++??+=defense;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
getting ^vbg+++xvbg+=getting
together ^rb+phrv+++=together
all ^rb++++=all
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
could ^md+pos+++=could
bear ^vb+vprv+++=bear
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
led ^vbd+++xvbnx+=led
them ^pp3o+pp3+++=them
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
fell ^j+++xvbn+=fell
upon ^in++++=upon
the ^ati++++=the
Gauls ^np+++??+=Gauls
as ^ql++++=as
they ^pp3a+pp3+++=they
all ^abn++++=all
lay ^jjb+++xvbn+=lay
asleep ^jj++++=asleep
and ^cc+phrs+++=and
unguarded ^jj++++=unguarded
in ^in++++=in
the ^ati++++=the
dead ^nn++++=dead
of ^in++++=of
night ^nn++++=night,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
a ^at++++=a
great ^jj+atrb+++=great
slaughter ^nn+nom+++=slaughter
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saved ^vbd+++xvbn+=saved
Ardea ^np+++??+=Ardea.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
heard ^vpsv++by+xvbnx+=heard
by ^in++++=by
the ^ati++++=the
many ^ap++++=many
Romans ^nn++++=Romans
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
living ^vbg+++xvbgx+=living
dispersed ^vprf+++xvbn+=dispersed
since ^in++++=since
the ^ati++++=the
rout ^nn++++=rout
of ^in++++=of
Allia ^np+++??+=Allia;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
recover ^vbi++++=recover
heart ^nn++++=heart
and ^cc++++=and
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
Camillus ^np+++??+=Camillus
would ^md+prd+++=would
be ^vb+be+vrb++=be
their ^pp$+pp3+++=their
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
yet ^rb++++=yet
do ^vb+do+vrb++=do
something ^pn++++=something
to ^to++++=to
redeem ^vbi++++=redeem
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
save ^in++++=save
their ^pp$+pp3+++=their
friends ^nns++++=friends
in ^in++++=in
the ^ati++++=the
Capitol ^np++++=Capitol.
. ^zz++++=EXTRAWORD
An ^at++++=An
entreaty ^nn++++=entreaty
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
to ^in++++=to
him ^pp3o+pp3+++=him
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
command ^nn++++=command
of ^in++++=of
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
proud ^jj+atrb+++=proud,
, ^zz++++=EXTRAWORD
stern ^jj+atrb+++=stern
man ^nn++++=man
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
mere ^jjb+atrb+++=mere
exile ^nn++++=exile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
not ^xnot++not++=not
take ^vb++++=take
upon ^in++++=upon
himself ^ppl+pp3+++=himself
to ^to++++=to
lead ^vbi++++=lead
Romans ^nn++++=Romans
without ^in++++=without
a ^at++++=a
decree ^nn++++=decree
from ^in++++=from
the ^ati++++=the
Senate ^np++++=Senate
giving ^vwbg+++xvbg+=giving
him ^pp3o+pp3+++=him
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Senate ^np++++=Senate
was ^vbd+bedz+vrb++=was--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
that ^dt+dem+++=that
remained ^jj+++xvbn+=remained
of ^in++++=of
it ^pp3+it+++=it--shut
-- ^--+clp+++=EXTRAWORD
shut ^j+++xvbn+=EXTRAWORD
up ^rp++++=up
in ^in++++=in
the ^ati++++=the
Capitol ^np++++=Capitol;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Gauls ^np+++??+=Gauls
were ^vbd+bed+aux++=were
spread ^vpsv++agls+xvbnx+=spread
all ^abn++++=all
round ^in+strn+++=round;
; ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
was ^vbd+bedz+aux++=was
that ^dt+dem+++=that
decree ^nn++++=decree
to ^to++++=to
be ^vbi+vbi+aux++=be
obtained ^vpsv++agls+xvbnx+=obtained?
? ^zz++++=EXTRAWORD
A ^at++++=A
young ^jj+atrb+++=young
man ^nn++++=man,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Pontius ^np++++=Pontius
Cominius ^np+++??+=Cominius,
, ^zz++++=EXTRAWORD
undertook ^j+++xvbn+=undertook
the ^ati++++=the
desperate ^jj+atrb+++=desperate
mission ^nn++++=mission.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
put ^vbd+++xvbnx+=put
on ^rb+phrv+++=on
a ^at++++=a
peasant ^nn+nom+++=peasant
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hid ^vbd+++xvbn+=hid
some ^dti++++=some
corks ^nns+++??+=corks
under ^in++++=under
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
supposing ^vbg+vprv++xvbg+=supposing
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
find ^vb+vprv+++=find
no ^at++++=no
passage ^nn+nom+++=passage
by ^in++++=by
the ^ati++++=the
bridge ^npl++++=bridge
over ^in++++=over
the ^ati++++=the
Tiber ^np+++??+=Tiber.
. ^zz++++=EXTRAWORD
Traveling ^np+nom++??+=Traveling
all ^abn++++=all
day ^nn++++=day
on ^in++++=on
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
at ^in++++=at
night ^nn++++=night
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
guard ^vb++++=guard
at ^rb++++=at
the ^ati++++=the
bridge ^nn++++=bridge;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
waited ^vprf+++xvbn+=waited
for ^in++++=for
darkness ^nns+nom+++=darkness,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
rolled ^vbd+++xvbnx+=rolled
his ^pp$+pp3+++=his
one ^cd1++++=one
thin ^jj+atrb+++=thin
light ^nn++++=light
garment ^nn+nom+++=garment,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
corks ^nn++++=corks
wrapped ^vbd+++xvbn+=wrapped
up ^rp++++=up
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
round ^in++++=round
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trusted ^jj+++xvbn+=trusted
himself ^ppl+pp3+++=himself
to ^in++++=to
the ^ati++++=the
stream ^nn++++=stream
of ^in++++=of
Father ^nn++++=Father
Tiber ^np+++??+=Tiber,
, ^zz++++=EXTRAWORD
like ^in++++=like
' ^zz++++='good
good ^jj+atrb+++=EXTRAWORD
Horatius ^np+++??+=Horatius'
' ^zz++++=EXTRAWORD
before ^in++++=before
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
safely ^rb++splt++=safely
borne ^vpsv++agls+xvbnx+=borne
along ^in++++=along
to ^in++++=to
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
Capitoline ^np+++??+=Capitoline
Hill ^nn++++=Hill.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
crept ^vbd+++xvbnx+=crept
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
avoiding ^vbg+++xvbg+=avoiding
every ^at++++=every
place ^nn++++=place
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
lights ^nns++++=lights
or ^cc++++=or
heard ^vbd+vprv++xvbn+=heard
noise ^nn++++=noise,
, ^zz++++=EXTRAWORD
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
a ^at++++=a
rugged ^jj+atrb+++=rugged
precipice ^nn++++=precipice,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
suspected ^vbd+vprv++xvbnx+=suspected
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+aux++=be
watched ^vpsv++by+xvbnx+=watched
by ^in++++=by
the ^ati++++=the
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
suppose ^vb+vprv+++=suppose
it ^pp3+it+++=it
too ^rb++++=too
steep ^jj++++=steep
to ^to++++=to
be ^vbi+vbi+aux++=be
climbed ^vpsv++agls+xvbnx+=climbed
from ^in++++=from
above ^jjb++++=above
or ^cc++++=or
below ^rb++++=below.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
resolute ^jj+atrb+++=resolute
man ^nn++++=man
did ^vbd+dod+aux++=did
not ^xnot++not++=not
fear ^vb++++=fear
the ^ati++++=the
giddy ^nn+++??+=giddy
dangerous ^jj+atrb+++=dangerous
ascent ^nn++++=ascent,
, ^zz++++=EXTRAWORD
even ^rb++++=even
in ^in++++=in
the ^ati++++=the
darkness ^nns+nom+++=darkness;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
swung ^vbd+++xvbnx+=swung
himself ^ppl+pp3+++=himself
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
stems ^nns++++=stems
and ^cc++++=and
boughs ^nns++++=boughs
of ^in++++=of
the ^ati++++=the
vines ^nns++++=vines
and ^cc++++=and
climbing ^jj+atrb++xvbg+=climbing
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
naked ^jj+atrb+++=naked
feet ^nns++++=feet
