[ ^zz++++=[Ellis
half ^abn++++=half-baked
- ^zz++++=EXTRAWORD
baked ^jj+++xvbn+=EXTRAWORD
lunatic ^jj++++=lunatic
would ^md+prd+++=would
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
what ^wdt+who+++=what
a ^at++++=a
man ^nn++++=man
wants ^nns++++=wants
in ^in++++=in
radio ^nn++++=radio
is ^vbz+bez+vrb++=is
clear ^jj+pred+++=clear,
, ^zz++++=EXTRAWORD
sharp ^jj+atrb+++=sharp
reception ^nn+nom+++=reception
and ^cc++++=and
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
what ^wdt+who+++=what
a ^at++++=a
crystal ^nn++++=crystal
gives ^vbz++++=gives
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You're
're ^vb+ber+vrb++0=EXTRAWORD
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
half ^abn++++=half-wits
- ^zz++++=EXTRAWORD
wits ^nns++++=EXTRAWORD
that ^tht+rel+subj++=that
think ^vb+vprv+tht0++=think
they ^pp3a+pp3+++=they're
're ^vb+ber+vrb++0=EXTRAWORD
classy ^jj+pred+++=classy
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
can ^md+pos+++=can
hear ^vb+vprv+++=hear
some ^dti++++=some
two ^cd++++=two-cent
- ^zz++++=EXTRAWORD
cent ^nnu"++++=EXTRAWORD
station ^nn+nom+++=station
five ^cd++++=five
hundred ^cd++++=hundred
miles ^nns++++=miles
away ^rp+pl+++=away
utter ^jjb++++=utter
a ^ap++++=a
few ^ap"++++=few
faint ^jj+atrb+++=faint
squeaks ^nns++++=squeaks.
. ^zz++++=EXTRAWORD
Shut ^j+++xvbn+=Shut
up ^rp++++=up!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
talk ^vbi++++=talk
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
to ^to+vcmp+++=to
listen ^vbi++++=listen
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
and ^cc+phrs+++=and
sit ^vb++++=sit
somewhere ^rb++++=somewhere
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+aux++=was
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
expected ^vpsv++agls+xvbnx+=expected
of ^in++++=of
Murchison ^np+++??+=Murchison.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
let ^vb+++xvbn+=let
out ^rb+phrv+++=out
a ^ap++++=a
few ^ap"++++=few
laps ^nns++++=laps
of ^in++++=of
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
feel ^vb+vprv+tht0++=feel
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
entirely ^rb+amp+splt++=entirely
justified ^vpsv++agls+xvbnx+=justified.
. ^zz++++=EXTRAWORD
Radio ^nn++++=Radio
fans ^nns++++=fans
are ^vb+ber+aux++=are
always ^rb++splt++=always
disputing ^vbg+++xvbgx+=disputing
over ^in++++=over
the ^ati++++=the
relative ^jj+atrb+++=relative
merits ^nns++++=merits
of ^in++++=of
crystal ^nn++++=crystal
and ^cc++++=and
tube ^nn++++=tube
sets ^nns++++=sets,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
just ^rb+emph+splt++=just
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
decide ^vbi+vprv+++=decide
whether ^cs+who+++=whether
to ^to++++=to
choke ^vbi++++=choke
Murchison ^np+++??+=Murchison
with ^in++++=with
my ^pp$+pp1+++=my
bare ^jj+atrb+++=bare
hand ^nn++++=hand
and ^cc++++=and
throw ^vb++++=throw
his ^pp$+pp3+++=his
lifeless ^jj+atrb+++=lifeless
body ^nn++++=body
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
car ^nn++++=car
window ^nn++++=window,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tell ^vb++++=tell
him ^pp3o+pp3+++=him
a ^ap++++=a
few ^ap"++++=few
things ^nns++++=things
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
wanting ^vbg+++xvbgx+=wanting
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
ever ^rb++++=ever
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
knocking ^vbg+++xvbg+=knocking
my ^pp$+pp1+++=my
tube ^nn++++=tube
set ^vbd+++xvbn+=set,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
this ^dt+dem+++=this
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
leaned ^j+++xvbn+=leaned
forward ^rb++++=forward
and ^cc++++=and
tapped ^vbd+++xvbn+=tapped
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
quickly ^rb++++=quickly
and ^cc++++=and
saw ^vbd+vprv+tht0+xvbn+=saw
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
sheeplike ^jj+atrb+++=sheeplike
face ^nn++++=face
close ^in+cmpx+++=close
to ^in"++++=to
mine ^pp$$++++=mine.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
chewing ^vbg+++xvbgx+=chewing
cardamon ^nn+++??+=cardamon
seed ^nn++++=seed
and ^cc++++=and
breathing ^nvbg+++xvbg+=breathing
the ^ati++++=the
odor ^nn++++=odor
into ^in++++=into
my ^pp$+pp1+++=my
face ^nn++++=face.
. ^zz++++=EXTRAWORD
Outraged ^jj+atrb++xvbn+=Outraged
citizens ^nns++++=citizens
were ^vbd+bed+aux++=were
removing ^vbg+++xvbgx+=removing
their ^pp$+pp3+++=their
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
friend ^nn++++=friend,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="come
come ^vb++++=EXTRAWORD
back ^jjb++++=back
and ^cc++++=and
sit ^vb++++=sit
with ^in++++=with
me ^pp1o+pp1+++=me;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
ask ^vbi++++=ask
you ^pp2+pp2+++=you
a ^ap++++=a
few ^ap"++++=few
questions ^nns+nom+++=questions
about ^in++++=about
radio ^nn++++=radio."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
resist ^vb++++=resist
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
I ^pp1a+pp1+++=I?
? ^zz++++=EXTRAWORD
No ^at++++=No
radio ^nn++++=radio
fan ^nn++++=fan
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
care ^nn++++=care
much ^ap++++=much
for ^in++++=for
the ^ati++++=the
looks ^nns++++=looks
of ^in++++=of
this ^dt+dem+++=this
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks
my ^pp$+pp1+++=my
friends ^nns++++=friends
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
steering ^vbg+++xvbgx+=steering
away ^in+pl+++=away
from ^in"++++=from
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
sure ^jj+pred+++=sure
I ^pp1a+pp1+++=I
never ^rb++++=never
said ^vbd+vpub+tht0+xvbn+=said
anything ^pn++++=anything
to ^to++++=to
bore ^vbi++++=bore
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
ever ^rb++++=ever
talked ^vbd+++xvbn+=talked
about ^in++++=about
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
radio ^nn++++=radio
set ^vbd+++xvbn+=set
and ^cc++++=and
some ^dti++++=some
new ^jj+atrb+++=new
hook ^nn++++=hook-ups
- ^zz++++=EXTRAWORD
ups ^nns"++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
noticed ^vprf+++xvbnx+=noticed
that ^tht+vcmp+++=that
men ^nns++++=men
who ^whp+rel+subj++=who
formerly ^rb+tm+++=formerly
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
fond ^jj+pred+++=fond
of ^in++++=of
my ^pp$+pp1+++=my
company ^nn++++=company
now ^rn+tm+++=now
gave ^vbd+++xvbn+=gave
startled ^vbd+++xvbn+=startled
looks ^nns++++=looks
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
neared ^vbd+++xvbnx+=neared
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
even ^cs+sub+++=even
climbed ^vprf+++xvbn+=climbed
over ^in++++=over
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
fence ^nn++++=fence
and ^cc++++=and
ran ^vbd+++xvbn+=ran
madly ^rb++++=madly
across ^in+pl+++=across
vacant ^jj+atrb+++=vacant
lots ^nns++++=lots,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
over ^in++++=over
their ^pp$+pp3+++=their
shoulders ^nns+nom+++=shoulders
with ^in++++=with
frightened ^jj+atrb++xvbn+=frightened
glances ^nns+nom+++=glances
as ^ql++++=as
they ^pp3a+pp3+++=they
ran ^vbd+++xvbnx+=ran.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
week ^nn++++=week
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
get ^vb++++=get
any ^dti++++=any
man ^nn++++=man
of ^in++++=of
my ^pp$+pp1+++=my
acquaintance ^nn+nom+++=acquaintance
to ^to++++=to
listen ^vbi++++=listen
to ^to++++=to
one ^cd1++++=one
word ^nn++++=word
from ^in++++=from
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
except ^in++++=except
Murchison ^np+++??+=Murchison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
an ^at++++=an
utter ^jjb+atrb+++=utter
idiot ^nn++++=idiot,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
clear ^jj++++=clear.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
Murchison ^np+++??+=Murchison
and ^cc++++=and
sat ^vpsv++agls+xvbn+=sat
with ^in++++=with
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
way ^nn++++=way
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
sit ^vbi++++=sit
with ^in++++=with
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
far ^rb+pl+++=far
and ^cc+phrs+++=and
away ^rp+pl+++=away
the ^ati++++=the
richest ^jjt+atrb+++=richest
man ^nn++++=man
in ^in++++=in
our ^pp$+pp1+++=our
town ^nn++++=town.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
estate ^npl++++=estate
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
amount ^vb++++=amount
to ^to++++=to
three ^cd++++=three
million ^cd++++=million
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
him ^pp3o+pp3+++=him
often ^rb+cnj+++=often,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
who ^whp+wpr+whcl++=who
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
a ^at++++=a
stand ^vb++++=stand-offish
- ^zz++++=EXTRAWORD
offish ^jj++++=EXTRAWORD
old ^jj++++=old
fellow ^jjb++++=fellow
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mix ^vb++++=mix,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
never ^rb++splt++=never
met ^vprf+++xvbnx+=met
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man
and ^cc++++=and
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
flabby ^jj++++=flabby
and ^cc++++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
in ^in++++=in
an ^at++++=an
unhealthy ^jj+atrb+++=unhealthy
sort ^nn++++=sort
of ^in++++=of
way ^nn++++=way.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
millionaire ^nn++++=millionaire
and ^cc++++=and
a ^at++++=a
member ^nn++++=member
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
" ^zz++++="old
old ^jj+atrb+++=EXTRAWORD
families ^nns++++=families"
" ^zz++++=EXTRAWORD
of ^in++++=of
Westcote ^np+++??+=Westcote,
, ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
the ^ati++++=the
seat ^nn++++=seat
alongside ^in+pl+++=alongside
of ^in++++=of
him ^pp3o+pp3+++=him
with ^in++++=with
considerable ^jj+atrb+++=considerable
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gather ^vb+vprv+++=gather,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
seated ^vpsv++agls+xvbnx+=seated,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
interested ^jj+pred+++=interested
in ^in++++=in
radio ^nn++++=radio."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
just ^rb+emph+splt++=just
building ^vbg+++xvbgx+=building
a ^at++++=a
new ^nn++++=new
set ^vbd+++xvbn+=set,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
a ^at++++=a
new ^jj+atrb+++=new
hook ^nn++++=hook-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
of ^in++++=of
a ^at++++=a
week ^nn++++=week
ago ^rb+cnj+++=ago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be
a ^at++++=a
wonder ^nn++++=wonder.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
the ^ati++++=the
idea ^nn++++=idea:
: ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
using ^xvbg+++xvbg+=using
a ^at++++=a
grid ^nn++++=grid
" ^zz++++="
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
yes ^uh++++=yes!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
aristocrat ^nn++++=aristocrat
said ^vbd+vpub++xvbn+=said
hastily ^rb++++=hastily.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
never ^rb++++=never
mind ^vb++++=mind
that ^tht+vcmp+++=that
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
very ^ql+amp+++=very
little ^ap++++=little
of ^in++++=of
such ^abl++++=such
things ^nns++++=things.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
an ^at++++=an
electrician ^nn++++=electrician
employed ^vwbn+++xvbn+=employed
by ^in++++=by
the ^ati++++=the
year ^nn++++=year
to ^in++++=to
care ^nn++++=care
for ^in++++=for
my ^pp$+pp1+++=my
radio ^nn++++=radio
set ^vbd+++xvbn+=set
and ^cc++++=and
I ^pp1a+pp1+++=I
leave ^vb++++=leave
all ^abn++++=all
such ^abl++++=such
things ^nns++++=things
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
a ^at++++=a
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
not ^xnot++not++=not?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
