" ^zz++++="Ye
the ^ati++++=the
nobleman ^nn+nom+++=nobleman's
's ^$++++=EXTRAWORD
court ^nn++++=court
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
superintendent ^nn++++=superintendent,
, ^zz++++=EXTRAWORD
Michael ^np++++=Michael
Simeonovitch ^np+++??+=Simeonovitch,
, ^zz++++=EXTRAWORD
orders ^nns++++=orders
you ^pp2+pp2+++=you
to ^to++++=to
go ^vbi++++=go
tomorrow ^nr+tm+++=to-morrow
to ^in++++=to
plough ^nn++++=plough
the ^ati++++=the
field ^nn++++=field
for ^in++++=for
the ^ati++++=the
oats ^nns++++=oats."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
official ^nn++++=official
went ^vbd+++xvbn+=went
through ^in++++=through
the ^ati++++=the
village ^nn+nom+++=village
and ^cc++++=and
directed ^vbd+++xvbn+=directed
the ^ati++++=the
men ^nns++++=men
to ^to++++=to
prepare ^vbi++++=prepare
for ^in++++=for
work ^nn++++=work
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day--some
-- ^--+clp+++=EXTRAWORD
some ^dti++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
others ^aps++++=others
by ^in++++=by
the ^ati++++=the
roadway ^nn++++=roadway.
. ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
people ^nns++++=people
were ^vbd+bed+aux++=were
almost ^rb+hdg+splt++=almost
overcome ^vpsv++agls+xvbnx+=overcome
with ^in++++=with
grief ^nn++++=grief,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them
shedding ^jj+atrb++xvbg+=shedding
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
none ^pn++++=none
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
disobey ^vbi++++=disobey
the ^ati++++=the
orders ^nns++++=orders
of ^in++++=of
their ^pp$+pp3+++=their
master ^nn++++=master.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
morning ^nn++++=morning
of ^in++++=of
Easter ^np++++=Easter
Monday ^nr++++=Monday,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
church ^nn++++=church
bells ^nns++++=bells
were ^vbd+bed+aux++=were
calling ^nvbg+++xvbg+=calling
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
to ^in++++=to
religious ^jj+atrb+++=religious
services ^nns++++=services,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
every ^at++++=every
one ^cd1++++=one
else ^rb+cnj+++=else
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
enjoy ^vb++++=enjoy
a ^at++++=a
holiday ^nn++++=holiday,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
serfs ^nns++++=serfs
started ^vbd+++xvbn+=started
for ^in++++=for
the ^ati++++=the
field ^nn++++=field
to ^in++++=to
plough ^nn++++=plough.
. ^zz++++=EXTRAWORD
Michael ^np++++=Michael
arose ^vbd+++xvbn+=arose
rather ^rb++++=rather
late ^jj++++=late
and ^cc++++=and
took ^vbd+++xvbn+=took
a ^at++++=a
walk ^nn++++=walk
about ^rp++++=about
the ^ati++++=the
farm ^nn++++=farm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
domestic ^jj+atrb+++=domestic
servants ^nns+nom+++=servants
were ^vbd+bed+vrb++=were
through ^in++++=through
with ^in++++=with
their ^pp$+pp3+++=their
work ^nn++++=work
and ^cc++++=and
had ^vbd+hvd+aux++=had
dressed ^vprf+++xvbnx+=dressed
themselves ^ppls+pp3+++=themselves
for ^in++++=for
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Michael ^np++++=Michael's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
and ^cc++++=and
their ^pp$+pp3+++=their
widowed ^jj+atrb++xvbn+=widowed
daughter ^nn+nom+++=daughter
( ^zz++++=(who
who ^whp+who+++=EXTRAWORD
was ^vbd+bedz+aux++=was
visiting ^vbg+++xvbgx+=visiting
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
custom ^nn++++=custom
on ^in++++=on
holidays ^nns++++=holidays)
) ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
church ^nn++++=church
and ^cc++++=and
returned ^vbd+++xvbn+=returned.
. ^zz++++=EXTRAWORD
A ^at++++=A
steaming ^jj+atrb++xvbg+=steaming
samovar ^nn+++??+=samovar
awaited ^vbd+++xvbn+=awaited
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
began ^vbd+++xvbnx+=began
to ^to++++=to
drink ^vbi++++=drink
tea ^nn++++=tea
with ^in++++=with
Michael ^np++++=Michael,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
after ^in++++=after
lighting ^nn++++=lighting
his ^pp$+pp3+++=his
pipe ^nn++++=pipe,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
the ^ati++++=the
elder ^nn++++=elder
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
superintendent ^nn++++=superintendent,
, ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
ordered ^vbd+vsua++xvbn+=ordered
the ^ati++++=the
moujiks ^nns+++??+=moujiks
to ^in++++=to
plough ^nn++++=plough
to ^to++++=to-day?"
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+vrb++=EXTRAWORD
they ^pp3a+pp3+++=they
all ^abn++++=all
gone ^vprf+++xvbn+=gone
to ^in++++=to
the ^ati++++=the
field ^nn++++=field?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
directed ^vbd+++xvbnx+=directed
them ^pp3o+pp3+++=them
myself ^ppl+pp1+++=myself
where ^wrb+who+++=where
to ^to++++=to
begin ^vbi++++=begin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
all ^abn++++=all
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
gave ^vbd+++xvbn+=gave
the ^ati++++=the
orders ^nns++++=orders,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
ploughing ^nvbg+++xvbg+=ploughing?
? ^zz++++=EXTRAWORD
Go ^vb++++=Go
at ^rb++++=at
once ^rb"+tm+++=once
and ^cc++++=and
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
may ^md+pos+++=may
tell ^vb++++=tell
them ^pp3o+pp3+++=them
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
there ^rn+pl+++=there
after ^in++++=after
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
expect ^vb+vprv+++=expect
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
one ^cd1++++=one
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
acres ^nns++++=acres
done ^vwbn+++xvbn+=done
for ^in++++=for
every ^at++++=every
two ^cd++++=two
ploughs ^nns+++??+=ploughs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
work ^nn++++=work
must ^md+nec+++=must
be ^vb+be+aux++=be
well ^rb++++=well
done ^vbd+++xvbn+=done;
; ^zz++++=EXTRAWORD
otherwise ^rb+cnj+++=otherwise
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
be ^vb+be+aux++=be
severely ^rb++splt++=severely
punished ^vpsv++agls+xvbnx+=punished,
, ^zz++++=EXTRAWORD
notwithstanding ^rb+cnj+++=notwithstanding
the ^ati++++=the
holiday ^nn++++=holiday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obey ^vb++++=obey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^nn++++=elder
started ^vbd+++xvbn+=started
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Michael ^np++++=Michael
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
After ^in++++=After
hesitating ^nn++++=hesitating
for ^in++++=for
some ^dti++++=some
time ^nn++++=time,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
very ^ql+amp+++=very
uneasy ^jj++++=uneasy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
listen ^vb++++=listen
to ^to++++=to
what ^wdt+who+++=what
those ^dt+dem+++=those
scoundrels ^nns+++??+=scoundrels
say ^vb+vpub+++=say
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Doubtless ^rb++++=Doubtless
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
will ^md+prd+++=will
curse ^vb++++=curse
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
want ^vb++++=want
you ^pp2+pp2+++=you
to ^in++++=to
report ^nn++++=report
the ^ati++++=the
exact ^jj+atrb+++=exact
words ^nns++++=words.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
villains ^nns+++??+=villains
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
find ^vb+vprv+++=find
work ^nn++++=work
at ^rb++++=at
all ^abn++++=all
pleasant ^jj++++=pleasant.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
rather ^rb++splt++=rather
lie ^vb++++=lie
down ^rp++++=down
all ^abn++++=all
day ^nn++++=day
and ^cc++++=and
do ^vb+do+vrb++=do
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
like ^vb++++=like
to ^to+vcmp+++=to
eat ^vbi++++=eat
and ^cc++++=and
drink ^nn++++=drink
and ^cc++++=and
make ^vb++++=make
merry ^jj++++=merry
on ^in++++=on
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
forget ^vb+vprv+++=forget
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
the ^ati++++=the
ploughing ^nvbg+++xvbg+=ploughing
is ^vbz+bez+aux++=is
not ^xnot++not++=not
done ^vprf+++xvbn+=done
it ^pp3+it+++=it
will ^md+prd+++=will
soon ^rb+tm+++=soon
be ^vb+be+vrb++=be
too ^ql++++=too
late ^jj++++=late.
. ^zz++++=EXTRAWORD
So ^ql++++=So
you ^pp2+pp2+++=you
go ^vb++++=go
and ^cc+phrs+++=and
listen ^vb++++=listen
to ^to++++=to
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tell ^vb++++=tell
it ^pp3+it+++=it
to ^in++++=to
me ^pp1o+pp1+++=me
in ^in++++=in
detail ^nn++++=detail.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
at ^rb++++=at
once ^rb"+tm+++=once."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hear ^vb+vprv+++=hear,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
obey ^vb++++=obey."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Turning ^nvbg+++xvbg+=Turning
his ^pp$+pp3+++=his
back ^jjb++++=back
and ^cc+phrs+++=and
mounting ^jj+++xvbg+=mounting
his ^pp$+pp3+++=his
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elder ^jjr++++=elder
was ^vbd+bedz+vrb++=was
soon ^rb+tm+++=soon
at ^in++++=at
the ^ati++++=the
field ^nn++++=field
where ^wrb+who+++=where
the ^ati++++=the
serfs ^nns++++=serfs
were ^vbd+bed+vrb++=were
hard ^jj++++=hard
at ^rb++++=at
work ^nn++++=work.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
Michael ^np++++=Michael's
's ^$++++=EXTRAWORD
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
a ^at++++=a
very ^ql+amp+++=very
good ^jj++++=good-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
overheard ^vprf+++xvbn+=overheard
the ^ati++++=the
conversation ^nn+nom+++=conversation
which ^whp+rel+obj++=which
her ^pp$+pp3+++=her
husband ^nn++++=husband
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
been ^vprf+ben+aux+xvbnx+=been
holding ^vbg+vprv++xvbgx+=holding
with ^in+ppvb+++=with
the ^ati++++=the
elder ^nn++++=elder.
. ^zz++++=EXTRAWORD
Approaching ^jj+++xvbg+=Approaching
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
good ^jj+atrb+++=good
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
Mishinka ^np+++??+=Mishinka
[ ^zz++++=[diminutive
diminutive ^jj++++=EXTRAWORD
of ^in++++=of
Michael ^np++++=Michael],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
beg ^vb++++=beg
of ^in++++=of
you ^pp2+pp2+++=you
to ^to++++=to
consider ^nn+nom+++=consider
the ^ati++++=the
importance ^nn+nom+++=importance
and ^cc++++=and
solemnity ^nn+nom+++=solemnity
of ^in++++=of
this ^dt+dem+++=this
holy ^jj++++=holy-day.
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Do
not ^xnot++not++=not
sin ^nn++++=sin,
, ^zz++++=EXTRAWORD
for ^in++++=for
Christ ^np++++=Christ's
's ^$++++=EXTRAWORD
sake ^nn++++=sake.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
poor ^jj+atrb+++=poor
moujiks ^nns+++??+=moujiks
go ^vb++++=go
home ^nr++++=home."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Michael ^np++++=Michael
laughed ^vbd+++xvbn+=laughed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
made ^vprf+++xvbn+=made
no ^at++++=no
reply ^nn++++=reply
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife's
's ^vbz+bez+vrb++0=EXTRAWORD
humane ^jj+atrb+++=humane
request ^nn++++=request.
. ^zz++++=EXTRAWORD
Finally ^rb++++=Finally
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
to ^to+vcmp+++=to
her ^pp$+pp3+++=her:
: ^zz++++=EXTRAWORD
" ^zz++++="You've
you ^pp2+pp2+++=EXTRAWORD
've ^vb+hv+aux++0=EXTRAWORD
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
whipped ^vpsv++agls+xvbnx+=whipped
for ^in++++=for
a ^at++++=a
very ^ql+amp+++=very
long ^rb++++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
become ^vb++++=become
bold ^jj++++=bold
enough ^qlp++++=enough
to ^to++++=to
interfere ^vbi++++=interfere
in ^in++++=in
affairs ^nns++++=affairs
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
not ^xnot++not++=not
your ^pp$+pp2+++=your
own ^ap++++=own."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mishinka,"
mishinka ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
persisted ^vbd+++xvbnx+=persisted,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
a ^at++++=a
frightful ^jj+atrb+++=frightful
dream ^nn++++=dream
concerning ^in++++=concerning
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
had ^vb+hv+aux++=had
better ^jjr++++=better
let ^vb+++xvbn+=let
the ^ati++++=the
moujiks ^nns+++??+=moujiks
go ^vb++++=go."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
perceive ^vb+vprv+++=perceive
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
gained ^vprf+++xvbnx+=gained
so ^pn++++=so
much ^ap++++=much
flesh ^nn++++=flesh
of ^in++++=of
late ^jj++++=late
that ^dt+dem+++=that
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
would ^md+prd+++=would
not ^xnot++not++=not
feel ^vb+vprv+++=feel
the ^ati++++=the
whip ^nn++++=whip.
. ^zz++++=EXTRAWORD
Lookout ^nn++++=Lookout!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rudely ^rb++++=Rudely
thrusting ^vbg+++xvbg+=thrusting
his ^pp$+pp3+++=his
hot ^jj+atrb+++=hot
pipe ^nn++++=pipe
against ^in++++=against
her ^pp$+pp3+++=her
cheek ^nn++++=cheek,
, ^zz++++=EXTRAWORD
Michael ^np++++=Michael
chased ^vbd+++xvbn+=chased
his ^pp$+pp3+++=his
wife ^nn++++=wife
from ^in++++=from
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
ordered ^vbd+vsua+tht0+xvbnx+=ordered
his ^pp$+pp3+++=his
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
After ^in++++=After
eating ^xvbg+++xvbg+=eating
a ^at++++=a
hearty ^jj+atrb+++=hearty
meal ^nn++++=meal
consisting ^vwbg+++xvbg+=consisting
of ^in++++=of
cabbage ^nn+nom+++=cabbage-soup,
- ^zz++++=EXTRAWORD
soup ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
roast ^vb++++=roast
pig ^nn++++=pig,
, ^zz++++=EXTRAWORD
meat ^nn++++=meat-cake,
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
pastry ^nn++++=pastry
with ^in++++=with
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
jelly ^nn++++=jelly,
, ^zz++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
cakes ^nns++++=cakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vodki ^nn+++??+=vodki,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
his ^pp$+pp3+++=his
woman ^nn++++=woman
cook ^nn++++=cook
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
ordered ^jj+++xvbn+=ordered
her ^pp3o+pp3+++=her
to ^to++++=to
be ^vbi+vbi+aux++=be
seated ^vpsv++agls+xvbnx+=seated
and ^cc+phrs+++=and
sing ^vb++++=sing
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
Simeonovitch ^np+++??+=Simeonovitch
accompanying ^vwbg+++xvbg+=accompanying
her ^pp3o+pp3+++=her
on ^in++++=on
the ^ati++++=the
guitar ^nn++++=guitar.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
superintendent ^nn++++=superintendent
was ^vbd+bedz+aux++=was
thus ^rb+cnj+splt++=thus
enjoying ^vbg+++xvbgx+=enjoying
himself ^ppl+pp3+++=himself
to ^in++++=to
the ^ati++++=the
fullest ^jjt+atrb+++=fullest
satisfaction ^nn+nom+++=satisfaction
in ^in++++=in
the ^ati++++=the
musical ^jj+atrb+++=musical
society ^nn++++=society
of ^in++++=of
his ^pp$+pp3+++=his
cook ^nn++++=cook
the ^ati++++=the
elder ^nn++++=elder
returned ^vbd+++xvbn+=returned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
a ^at++++=a
low ^jj+atrb+++=low
bow ^nn++++=bow
to ^in++++=to
his ^pp$+pp3+++=his
superior ^nn++++=superior,
, ^zz++++=EXTRAWORD
proceeded ^j+++xvbn+=proceeded
to ^to++++=to
give ^vbi++++=give
the ^ati++++=the
desired ^jj+atrb++xvbn+=desired
information ^nn+nom+++=information
concerning ^in++++=concerning
the ^ati++++=the
serfs ^nns++++=serfs.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Michael ^np++++=Michael,
, ^zz++++=EXTRAWORD
" ^zz++++="did
did ^vbd+dod+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
plough ^vb++++=plough?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,"
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
elder ^jjr++++=elder;
; ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+aux++=have
accomplished ^vprf+++xvbnx+=accomplished
about ^in++++=about
half ^abn++++=half
the ^ati++++=the
field ^nn++++=field."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
there ^rn+pl+++=there
no ^at++++=no
fault ^nn++++=fault
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
discover ^nn+nom+++=discover.
. ^zz++++=EXTRAWORD
The ^ati++++=The
work ^nn++++=work
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
well ^rb++++=well
done ^vbd+++xvbn+=done.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
evidently ^rb++++=evidently
afraid ^jj+pred+++=afraid
of ^in++++=of
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
soil ^nn++++=soil?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
good ^jj++++=good.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
quite ^rb++++=quite
soft ^jj+pred+++=soft."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Simeonovitch ^np+++??+=Simeonovitch,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
pause ^nn++++=pause,
, ^zz++++=EXTRAWORD
" ^zz++++="what
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say
about ^rb++++=about
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
Cursed ^j+++xvbn+=Cursed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
elder ^nn++++=elder
hesitated ^vbd+++xvbn+=hesitated
somewhat ^rb+cnj+++=somewhat,
, ^zz++++=EXTRAWORD
Michael ^np++++=Michael
commanded ^vbd+vpub++xvbn+=commanded
him ^pp3o+pp3+++=him
to ^to++++=to
speak ^vbi++++=speak
and ^cc+phrs+++=and
tell ^vb++++=tell
him ^pp3o+pp3+++=him
the ^ati++++=the
whole ^jj+atrb+++=whole
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
