" ^zz++++="Ye
Moscow ^np++++=Moscow
to ^to++++=to
complain ^vbi+vpub+++=complain
of ^in++++=of
their ^pp$+pp3+++=their
treatment ^nn+nom+++=treatment
to ^in++++=to
their ^pp$+pp3+++=their
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
obtained ^vbd+++xvbnx+=obtained
no ^at++++=no
satisfaction ^nn+nom+++=satisfaction.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
poor ^jj+atrb+++=poor
peasants ^nns+nom+++=peasants
returned ^vbd+++xvbn+=returned
disconsolate ^jj++++=disconsolate
from ^in++++=from
the ^ati++++=the
nobleman ^nn+nom+++=nobleman
their ^pp$+pp3+++=their
superintendent ^npt++++=superintendent
determined ^jj+++xvbn+=determined
to ^to+jcmp+++=to
have ^vbi++vrb++=have
revenge ^nn++++=revenge
for ^in++++=for
their ^pp$+pp3+++=their
boldness ^nns+nom+++=boldness
in ^in++++=in
going ^xvbg+++xvbg+=going
above ^rb++++=above
him ^pp3o+pp3+++=him
for ^in++++=for
redress ^nns+nom+++=redress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
life ^nn++++=life
and ^cc++++=and
that ^cs+sub+++=that
of ^in++++=of
their ^pp$+pp3+++=their
fellow ^jjb++++=fellow-victims
- ^zz++++=EXTRAWORD
victims ^nns++++=EXTRAWORD
became ^vbd+++xvbn+=became
worse ^jjr++++=worse
than ^in++++=than
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
happened ^vbd+++xvbn+=happened
that ^dt+dem+++=that
among ^in++++=among
the ^ati++++=the
serfs ^nns++++=serfs
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
some ^dti++++=some
very ^ql+amp+++=very
treacherous ^jj+atrb+++=treacherous
people ^nns++++=people
who ^whp+rel+subj++=who
would ^md+prd+++=would
falsely ^rb++splt++=falsely
accuse ^vb++++=accuse
their ^pp$+pp3+++=their
fellows ^nns++++=fellows
of ^in++++=of
wrong ^jj++++=wrong-doing
- ^zz++++=EXTRAWORD
doing ^vbg+++xvbg+=EXTRAWORD
and ^cc+phrs+++=and
sow ^vb++++=sow
seeds ^nns++++=seeds
of ^in++++=of
discord ^nn++++=discord
among ^in++++=among
the ^ati++++=the
peasantry ^nn++++=peasantry,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
Michael ^np++++=Michael
would ^md+prd+++=would
become ^vb++++=become
greatly ^rb+amp+++=greatly
enraged ^vbd+++xvbn+=enraged,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
his ^pp$+pp3+++=his
poor ^jj+atrb+++=poor
subjects ^nns++++=subjects
began ^vbd+++xvbn+=began
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
fear ^nn++++=fear
of ^in++++=of
their ^pp$+pp3+++=their
lives ^nns++++=lives.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
superintendent ^npt++++=superintendent
passed ^vbd+++xvbn+=passed
through ^in++++=through
the ^ati++++=the
village ^nn+nom+++=village
the ^ati++++=the
people ^nns++++=people
would ^md+prd+++=would
run ^vb+++xvbn+=run
and ^cc+phrs+++=and
hide ^vb++++=hide
themselves ^ppls+pp3+++=themselves
as ^in++++=as
from ^in"++++=from
a ^at++++=a
wild ^jj+atrb+++=wild
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv++xvbg+=Seeing
thus ^rb+cnj+++=thus
the ^ati++++=the
terror ^nn++++=terror
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
to ^in++++=to
the ^ati++++=the
hearts ^nns++++=hearts
of ^in++++=of
the ^ati++++=the
moujiks ^nns+++??+=moujiks,
, ^zz++++=EXTRAWORD
Michael ^np++++=Michael's
's ^$++++=EXTRAWORD
treatment ^nn+nom+++=treatment
of ^in++++=of
them ^pp3o+pp3+++=them
became ^vbd+++xvbn+=became
still ^jj+pred+++=still
more ^rbr++++=more
vindictive ^nn++++=vindictive,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
from ^in++++=from
over ^in++++=over-work
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
and ^cc++++=and
ill ^jj++++=ill-usage
- ^zz++++=EXTRAWORD
usage ^nn++++=EXTRAWORD
the ^ati++++=the
lot ^nn++++=lot
of ^in++++=of
the ^ati++++=the
poor ^jj+atrb+++=poor
serfs ^nns++++=serfs
was ^vbd+bedz+vrb++=was
indeed ^rb++++=indeed
a ^at++++=a
hard ^jj+atrb+++=hard
one ^pn++++=one.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
for ^in++++=for
the ^ati++++=the
peasants ^nns+nom+++=peasants,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
driven ^vb+++xvbn+=driven
to ^to+vcmp+++=to
despair ^vbi++++=despair,
, ^zz++++=EXTRAWORD
to ^to++++=to
devise ^vbi++++=devise
means ^nns++++=means
whereby ^cs+sub+++=whereby
they ^pp3a+pp3+++=they
could ^md+pos+++=could
rid ^vb+++xvbn+=rid
themselves ^ppls+pp3+++=themselves
of ^in++++=of
an ^at++++=an
inhuman ^jj+atrb+++=inhuman
monster ^nn+nom+++=monster
such ^abl++++=such
as ^ql++++=as
Simeonovitch ^np+++??+=Simeonovitch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
these ^dt+dem+++=these
unfortunate ^jj+atrb+++=unfortunate
people ^nns++++=people
began ^vbd+++xvbn+=began
to ^to++++=to
consider ^nn+nom+++=consider
whether ^cs+who+++=whether
something ^pn++++=something
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
to ^to++++=to
relieve ^vbi++++=relieve
Them ^pp3o+pp3+++=THEM
of ^in++++=of
their ^pp$+pp3+++=their
intolerable ^jj+atrb+++=intolerable
yoke ^nn++++=yoke.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
hold ^vb++++=hold
little ^ap++++=little
meetings ^nns++++=meetings
in ^in++++=in
secret ^nn++++=secret
places ^nns++++=places
to ^to++++=to
bewail ^vbi++++=bewail
their ^pp$+pp3+++=their
misery ^nn++++=misery
and ^cc++++=and
to ^to++++=to
confer ^vbi++++=confer
with ^in++++=with
one ^cd1++++=one
another ^dt++++=another
as ^in++++=as
