A ^at++++=A
only! ^nn+++??+=EXTRAWORD
'" ^nn+++??+=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
sergeant ^nn+nom+++=sergeant.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='only.'
only ^rb+down+++=EXTRAWORD
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
all ^abn++++=all
about ^in++++=about
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
going ^vbg+++xvbgx+=going
to ^in++++=to
trifle ^nn++++=trifle
with ^in++++=with
me ^pp1o+pp1+++=me--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
the ^ati++++=the
squad ^nn++++=squad
moved ^vbd+++xvbn+=moved
on ^in++++=on
towards ^in++++=towards
its ^pp$+it+++=its
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
sergeant ^nn+nom+++=sergeant's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back
Jones ^np++++=Jones
and ^cc++++=and
Patterson ^np++++=Patterson
were ^vbd+bed+vrb++=were
slyly ^jj+atrb+++=slyly
passing ^jj+atrb++xvbg+=passing
apples ^nns++++=apples
and ^cc++++=and
pears ^nns+++??+=pears
to ^in++++=to
their ^pp$+pp3+++=their
friends ^nns++++=friends
while ^cs+sub+++=while
the ^ati++++=the
sergeant ^nn+nom+++=sergeant
expounded ^vbd+++xvbn+=expounded
eloquently ^jj++++=eloquently
to ^in++++=to
the ^ati++++=the
corporal ^nn+nom+++=corporal.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
kind ^rb++++=kind
of ^rb"++++=of
men ^nns++++=men
are ^vb+ber+vrb++=are
in ^in++++=in
the ^ati++++=the
army ^nn++++=army
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
joined ^vbd+++xvbnx+=joined
the ^ati++++=the
regiment ^nn+nom+++=regiment
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
different ^jj+atrb+++=different
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
a ^at++++=a
sergeant ^nn+nom+++=sergeant
had ^vb+hv+vrb++=had
some ^dti++++=some
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
a ^at++++=a
man ^nn++++=man
