A ^rb++++=A
from ^in++++=from
their ^pp$+pp3+++=their
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
bullies ^nns++++=bullies
are ^vb+ber+vrb++=are
cowards ^nns++++=cowards
at ^in++++=at
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
Samson ^np++++=Samson
glared ^vbd+++xvbn+=glared
around ^in++++=around
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
made ^vprf+++xvbn+=made
a ^at++++=a
move ^nn++++=move.
. ^zz++++=EXTRAWORD
The ^ati++++=The
matter ^nn++++=matter
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
the ^ati++++=the
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Samson ^np++++=Samson
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
under ^in++++=under
arrest ^nn++++=arrest.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
inquiry ^nn++++=inquiry
was ^vbd+bedz+aux++=was
held ^vpsv++tht0+xvbnx+=held
the ^ati++++=the
officer ^npt++++=officer
expressed ^vbd+vpub++xvbn+=expressed
his ^pp$+pp3+++=his
astonishment ^nn+nom+++=astonishment
at ^in++++=at
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
Samson ^np++++=Samson
hit ^vbd+++xvbn+=hit
two ^cd++++=two
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
the ^ati++++=the
insult ^nn++++=insult
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
received ^vprf+++xvbnx+=received,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
real ^jj+atrb+++=real
culprit ^nn++++=culprit
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
go ^vb++++=go
unpunished ^jj+++xvbn+=unpunished.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
deserved ^vbd+++xvbnx+=deserved
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Samson ^np++++=Samson,
, ^zz++++=EXTRAWORD
sullenly ^rb+cnj+++=sullenly,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
strike ^vb++++=strike
the ^ati++++=the
little ^jj+atrb+++=little
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
killed ^vprf+++xvbnx+=killed
him ^pp3o+pp3+++=him."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Silence!"
silence ^nn+nom+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
officer ^nn++++=officer.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
answer ^nn++++=answer
me ^pp1o+pp1+++=me
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
answer ^vb++++=answer
you ^pp2+pp2+++=you
as ^ql++++=as
I ^pp1a+pp1+++=I
like ^vb++++=like,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Samson ^np++++=Samson,
, ^zz++++=EXTRAWORD
doggedly ^rb++++=doggedly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer
sprang ^vbd+++xvbn+=sprang
to ^in++++=to
his ^pp$+pp3+++=his
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
lithe ^nn+++??+=lithe
rattan ^jj+atrb+++=rattan
cane ^nn++++=cane
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
struck ^vbd+++xvbn+=struck
the ^ati++++=the
insubordinate ^jj+atrb+++=insubordinate
soldier ^nn++++=soldier
twice ^rb++++=twice
across ^in+pl+++=across
the ^ati++++=the
face ^nn++++=face,
, ^zz++++=EXTRAWORD
each ^dt++++=each
time ^nn++++=time
raising ^vwbg+++xvbg+=raising
an ^at++++=an
angry ^jj++++=angry
red ^jj++++=red
mark ^vb++++=mark.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
the ^ati++++=the
guards ^nns++++=guards
had ^vb+hv+vrb++=had
time ^nn++++=time
to ^to++++=to
interfere ^vbi++++=interfere,
, ^zz++++=EXTRAWORD
Samson ^np++++=Samson
sprang ^vbd+++xvbn+=sprang
upon ^in++++=upon
the ^ati++++=the
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
lifted ^j+++xvbn+=lifted
him ^pp3o+pp3+++=him
like ^in++++=like
a ^at++++=a
child ^nn++++=child
above ^rb++++=above
his ^pp$+pp3+++=his
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dashed ^vprf+++xvbn+=dashed
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
sickening ^jj+atrb+++=sickening
crash ^nn++++=crash
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
motionless ^jj++++=motionless.
. ^zz++++=EXTRAWORD
A ^at++++=A
cry ^nn++++=cry
of ^in++++=of
horror ^nn++++=horror
went ^vbd+++xvbn+=went
up ^rp++++=up
from ^in++++=from
every ^at++++=every
one ^cd1++++=one
present ^nn++++=present.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
enough ^qlp++++=enough,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Samson ^np++++=Samson,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^to++++=to
go ^vbi++++=go,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
met ^vpsv++by+xvbnx+=met
by ^in++++=by
a ^at++++=a
bristling ^jj+atrb+++=bristling
hedge ^nn++++=hedge
of ^in++++=of
steel ^nn++++=steel.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
like ^in++++=like
a ^at++++=a
rat ^nn++++=rat
in ^in++++=in
a ^at++++=a
trap ^nn++++=trap.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
defiantly ^rb++++=defiantly
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
maddened ^vwbn+++xvbn+=maddened
by ^in++++=by
oppression ^nn++++=oppression,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glared ^vpsv++agls+xvbn+=glared
around ^in++++=around
helplessly ^rb++++=helplessly.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
his ^pp$+pp3+++=his
punishment ^nn+nom+++=punishment
for ^in++++=for
striking ^xvbg+++xvbg+=striking
his ^pp$+pp3+++=his
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
doubt ^nn++++=doubt
now ^rn+tm+++=now
about ^in++++=about
his ^pp$+pp3+++=his
fate ^nn++++=fate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guard ^nn++++=guard-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
rude ^jj+atrb+++=rude
hut ^nn++++=hut
of ^in++++=of
logs ^nns++++=logs
situated ^vwbn+++xvbn+=situated
on ^in++++=on
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
roaring ^jj+atrb++xvbg+=roaring
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
Into ^in++++=Into
this ^dt+dem+++=this
room ^nn++++=room
Samson ^np++++=Samson
was ^vbd+bedz+aux++=was
flung ^vpsv++agls+xvbnx+=flung,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
hand ^nn++++=hand
and ^cc++++=and
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
to ^to++++=to
await ^vbi++++=await
the ^ati++++=the
court ^nn++++=court-martial
- ^zz++++=EXTRAWORD
martial ^jj++++=EXTRAWORD
next ^ap++++=next
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shattered ^jj+++xvbn+=shattered
officer ^npt++++=officer,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
sword ^nn++++=sword
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
in ^rb+phrv+++=in
pieces ^nns++++=pieces
under ^in++++=under
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
slowly ^rb++++=slowly
revived ^vbd+++xvbn+=revived
and ^cc++++=and
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
to ^in++++=to
his ^pp$+pp3+++=his
quarters ^nns+nom+++=quarters.
. ^zz++++=EXTRAWORD
A ^at++++=A
sentry ^nn++++=sentry
marched ^vbd+++xvbn+=marched
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
all ^abn++++=all
night ^nn++++=night
before ^in++++=before
the ^ati++++=the
guard ^nn++++=guard-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Samson ^np++++=Samson
was ^vbd+bedz+aux++=was
sent ^vpsv++agls+xvbnx+=sent
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
the ^ati++++=the
guard ^nn++++=guard-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
empty ^jj+pred+++=empty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
huge ^jj++++=huge
Breton ^jj++++=Breton
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
his ^pp$+pp3+++=his
bonds ^nns++++=bonds
as ^ql++++=as
did ^vbd+dod+vrb++=did
Samson ^np++++=Samson
of ^in++++=of
old ^nn++++=old.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
pushed ^vprf+++xvbnx+=pushed
out ^rp+pl+++=out
a ^at++++=a
log ^&fo++++=log
of ^in++++=of
wood ^nn++++=wood
from ^in++++=from
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
squeezed ^vprf+++xvbnx+=squeezed
himself ^ppl+pp3+++=himself
through ^in++++=through
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
all ^abn++++=all
trace ^vb++++=trace
of ^in++++=of
him ^pp3o+pp3+++=him
was ^vbd+bedz+aux++=was
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
of ^in+emph+++=of
course ^nn+emph"+++=course
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
sentenced ^vprf+++xvbnx+=sentenced
and ^cc+phrs+++=and
executed ^vbd+++xvbn+=executed
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
mud ^nn++++=mud
near ^in+pl+++=near
the ^ati++++=the
water ^nn++++=water
were ^vbd+bed+vrb++=were
great ^jj+atrb+++=great
footprints ^nns++++=footprints
which ^whp+rel+obj++=which
no ^at++++=no
boot ^nn++++=boot
but ^cs+sub+++=but
that ^cs"++++=that
of ^in++++=of
Samson ^np++++=Samson
could ^md+pos+++=could
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made;
; ^zz++++=EXTRAWORD
so ^ql++++=so
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
stream ^nn++++=stream
it ^pp3+it+++=it
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
himself ^ppl+pp3+++=himself
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trend ^nn++++=trend
of ^in++++=of
the ^ati++++=the
footprints ^nns++++=footprints,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
indicated ^vb+++xvbn+=indicated
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
on ^in++++=on
the ^ati++++=the
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
trace ^vbi++++=trace
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentries ^nns++++=sentries
who ^whp+rel+subj++=who
guarded ^vbd+++xvbn+=guarded
the ^ati++++=the
pass ^nn++++=pass
maintained ^vbd+vpub++xvbn+=maintained
that ^tht+vcmp+++=that
no ^at++++=no
one ^cd1++++=one
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
through ^in++++=through
during ^in++++=during
the ^ati++++=the
night ^nn++++=night,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
make ^vbi++++=make
sure ^jj++++=sure
several ^ap++++=several
men ^nns++++=men
were ^vbd+bed+aux++=were
sent ^vpsv++agls+xvbnx+=sent
down ^rp++++=down
the ^ati++++=the
path ^nn++++=path
to ^to++++=to
overtake ^vbi++++=overtake
the ^ati++++=the
runaway ^nn++++=runaway.
. ^zz++++=EXTRAWORD
Even ^cs+sub+++=Even
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
a ^at++++=a
town ^nn++++=town
or ^cc++++=or
a ^at++++=a
village ^nn+nom+++=village
far ^rb+pl+++=far
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
huge ^jj++++=huge
a ^at++++=a
man ^nn++++=man
could ^md+pos+++=could
not ^xnot++not++=not
escape ^vb++++=escape
notice ^vb+vprv+++=notice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
searchers ^nns+nom+++=searchers
were ^vbd+bed+aux++=were
instructed ^vpsv++agls+xvbnx+=instructed
to ^to+vcmp+++=to
telegraph ^vb++++=telegraph
his ^pp$+pp3+++=his
description ^nn+nom+++=description
and ^cc++++=and
his ^pp$+pp3+++=his
crime ^nn++++=crime
as ^in++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
reached ^vbd+++xvbnx+=reached
a ^at++++=a
telegraph ^nn++++=telegraph
wire ^nn++++=wire.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
to ^to+jcmp+++=to
hide ^vbi++++=hide
in ^in++++=in
the ^ati++++=the
valley ^nn++++=valley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
rapid ^jj+atrb+++=rapid
search ^nn++++=search
speedily ^rb++++=speedily
convinced ^vbd+++xvbn+=convinced
the ^ati++++=the
officers ^nns+nom+++=officers
that ^tht+rel+obj++=that
the ^ati++++=the
delinquent ^jj++++=delinquent
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
sun ^nn++++=sun
rose ^vbd+++xvbn+=rose
higher ^jjr++++=higher
and ^cc+phrs+++=and
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
it ^pp3+it+++=it
began ^vbd+++xvbn+=began
to ^to++++=to
shine ^vbi++++=shine
even ^rb++++=even
on ^in++++=on
the ^ati++++=the
northward ^jjb++++=northward-facing
- ^zz++++=EXTRAWORD
facing ^vbg+++xvbg+=EXTRAWORD
snow ^nn++++=snow
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
a ^at++++=a
sharp ^jj++++=sharp-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
private ^jj++++=private
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
black ^jj+atrb+++=black
speck ^nn++++=speck
moving ^vwbg+++xvbg+=moving
high ^jj++++=high
up ^rp++++=up
on ^in++++=on
the ^ati++++=the
great ^jj+atrb+++=great
white ^jj+atrb+++=white
slope ^nn++++=slope
south ^np+pl+++=south
of ^in++++=of
the ^ati++++=the
valley ^nn++++=valley.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^npt++++=officer
called ^vbd+++xvbn+=called
for ^in+ppvb+++=for
a ^at++++=a
field ^nn++++=field-glass,
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
placing ^nvbg+++xvbg+=placing
it ^pp3+it+++=it
to ^in++++=to
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
the ^ati++++=the
snow ^nn++++=snow
carefully ^rb++++=carefully.
. ^zz++++=EXTRAWORD
" ^zz++++="Call
call ^vb++++=EXTRAWORD
out ^rp+pl+++=out
a ^at++++=a
detachment ^nn+nom+++=detachment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Samson ^np++++=Samson
on ^in++++=on
the ^ati++++=the
mountain ^nn++++=mountain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
stir ^nn++++=stir
in ^in++++=in
the ^ati++++=the
camp ^nn++++=camp
when ^wrb+who+++=when
the ^ati++++=the
truth ^nn++++=truth
became ^vbd+++xvbn+=became
known ^jj+++xvbn+=known.
. ^zz++++=EXTRAWORD
Emissaries ^np+++??+=Emissaries
were ^vbd+bed+aux++=were
sent ^vpsv++agls+xvbnx+=sent
after ^in++++=after
the ^ati++++=the
searchers ^nns+nom+++=searchers
down ^in++++=down
the ^ati++++=the
pass ^nn++++=pass,
, ^zz++++=EXTRAWORD
calling ^nvbg+++xvbg+=calling
them ^pp3o+pp3+++=them
to ^to++++=to
return ^vbi++++=return.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
thinks ^vbz+vprv+++=thinks
to ^to++++=to
get ^vbi++++=get
to ^to+vcmp+++=to
Italy ^vb++++=Italy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
officer ^nn++++=officer.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
imagine ^vb+vprv+tht0++=imagine
the ^ati++++=the
fool ^nn++++=fool
knew ^vbd+vprv++xvbn+=knew
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
geography ^nn++++=geography.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+aux++=have
him ^pp3o+pp3+++=him
now ^rn+tm+++=now
secure ^vb++++=secure
enough ^qlp++++=enough."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
flung ^vpsv++agls+xvbnx+=flung
over ^in++++=over
Samson ^np++++=Samson's
's ^$++++=EXTRAWORD
head ^nn++++=head
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
able ^jj+pred+++=able
to ^to+jcmp+++=to
hobble ^vb+++??+=hobble
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
exceedingly ^rb++++=exceedingly
bitter ^jj+pred+++=bitter.
. ^zz++++=EXTRAWORD
Shading ^np+++??+=Shading
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
and ^cc++++=and
gazing ^vbg+++xvbg+=gazing
at ^in++++=at
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said-"A
- ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=EXTRAWORD
good ^jj+atrb+++=good
marksman ^nn+nom+++=marksman
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
bring ^vb++++=bring
him ^pp3o+pp3+++=him
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
need ^nn++++=need
of ^in++++=of
that ^dt+pdem+++=that,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
his ^pp$+pp3+++=his
superior ^nn++++=superior.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
cannot ^md+pos+not++=cannot
escape ^vb++++=escape.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
have ^vb+hv+vrb++=have
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
but ^cc++++=but
to ^to++++=to
wait ^vbi++++=wait
for ^in++++=for
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
will ^md+prd+++=will
have ^md"++pmd"++=have
to ^md+nec+++=to
come ^vb++++=come
down ^rp++++=down."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
All ^abn++++=All
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+vrb++=was
perfectly ^rb+amp+++=perfectly
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
A ^at++++=A
detachment ^nn+nom+++=detachment
crossed ^vbd+++xvbn+=crossed
the ^ati++++=the
stream ^nn++++=stream
and ^cc++++=and
stacked ^jj+++xvbn+=stacked
its ^pp$+it+++=its
arms ^nns++++=arms
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
mountain ^nn++++=mountain
which ^whp+rel+obj++=which
Samson ^np++++=Samson
was ^vbd+bedz+aux++=was
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
climb ^vbi++++=climb.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj+atrb+++=small
level ^nn++++=level
place ^nn++++=place
a ^ap++++=a
few ^ap"++++=few
yards ^nns++++=yards
wide ^jj++++=wide
between ^in++++=between
the ^ati++++=the
bottom ^nn++++=bottom
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill
and ^cc++++=and
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
raging ^jj+atrb++xvbg+=raging
stream ^nn++++=stream.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
bit ^nn++++=bit
of ^in++++=of
level ^nn++++=level
ground ^nn++++=ground
the ^ati++++=the
soldiers ^nns+nom+++=soldiers
lay ^vbd+++xvbn+=lay
in ^in++++=in
the ^ati++++=the
sun ^nn++++=sun
and ^cc++++=and
smoked ^jj+++xvbn+=smoked,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
officers ^nns+nom+++=officers
stood ^vbd+++xvbn+=stood
in ^in++++=in
a ^at++++=a
group ^nn++++=group
and ^cc++++=and
watched ^vbd+++xvbn+=watched
the ^ati++++=the
climbing ^jj+atrb++xvbg+=climbing
man ^nn++++=man
going ^vwbg+++xvbg+=going
steadily ^rb++++=steadily
upward ^jjb++++=upward.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
short ^jj+atrb+++=short
distance ^nn+nom+++=distance
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
plateau ^nn++++=plateau
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
stunted ^jj+atrb+++=stunted
grass ^nn++++=grass
and ^cc++++=and
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj+atrb+++=dark
points ^nns++++=points
of ^in++++=of
rock ^nn++++=rock
protruding ^vwbg+++xvbg+=protruding
from ^in++++=from
the ^ati++++=the
scant ^jj+atrb+++=scant
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
Above ^jjb++++=Above
that ^cs+sub+++=that
again ^rb+tm+++=again
was ^vbd+bedz+vrb++=was
a ^at++++=a
breadth ^nn++++=breadth
of ^in++++=of
dirty ^jj+atrb+++=dirty
snow ^nn++++=snow
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong,
, ^zz++++=EXTRAWORD
sent ^j+++xvbn+=sent
little ^ap++++=little
trickling ^jj+atrb++xvbg+=trickling
streams ^nns++++=streams
down ^in++++=down
to ^in++++=to
the ^ati++++=the
river ^nn++++=river.
