prompt,source,filename,f1,f2,f3,f4
llm_free,ai,4000_story_0471_llm_free.txt,-15.79270988,-13.71935859,5.2296093547,-2.270789797
human,human,4000_story_0473.txt,22.080640553,6.5256320505,0.5264389406,-0.230941118
llm_free,ai,4000_story_0473_llm_free.txt,-14.8844717,-9.643209478,-0.014640727,-2.73681929
human,human,4000_story_0475.txt,35.017748313,-4.017190246,6.5931709578,4.3074069454
llm_free,ai,4000_story_0475_llm_free.txt,-12.52325157,-7.704308907,6.165834321,-0.067154956
human,human,4000_story_0478.txt,16.404157932,-1.813641822,1.456660054,0.0044095875
llm_free,ai,4000_story_0478_llm_free.txt,-15.49443079,-9.002713412,0.851029197,-3.082877206
human,human,4000_story_0479.txt,35.253931645,-2.231718271,13.593195635,2.5620383522
llm_free,ai,4000_story_0479_llm_free.txt,-7.611089019,-9.046941239,-1.866277933,-1.780787757
human,human,4000_story_0480.txt,13.878924815,5.8227137045,0.5686736693,-2.473515968
llm_free,ai,4000_story_0480_llm_free.txt,-14.87072528,-11.36820591,3.632825946,1.6405612936
human,human,4000_story_0481.txt,1.1309744902,8.6274076447,-8.482085404,-0.207579948
llm_free,ai,4000_story_0481_llm_free.txt,-4.701356923,-6.951777098,4.3870210587,1.1340109697
human,human,4000_story_0483.txt,21.502501474,17.541247224,4.1897150252,4.0880259222
llm_free,ai,4000_story_0483_llm_free.txt,-9.565711923,-12.84296362,3.449128019,4.6165138716
human,human,4000_story_0487.txt,3.5502514642,7.3764681422,-18.08989696,-2.639207968
llm_free,ai,4000_story_0487_llm_free.txt,-14.37038113,-2.932702744,10.563169625,3.6310942028
human,human,4000_story_0489.txt,23.592731091,8.239947724,10.195504981,5.4059404118
llm_free,ai,4000_story_0489_llm_free.txt,-15.43286547,-9.51958122,0.8086407816,-0.984516798
human,human,4000_story_0492.txt,7.4938157536,16.026353178,-11.73657887,-3.499957872
llm_free,ai,4000_story_0492_llm_free.txt,-13.12878779,-8.492081081,0.5672102214,-3.029157232
human,human,4000_story_0493.txt,21.569223502,9.9868552532,2.2079962375,1.6962870269
llm_free,ai,4000_story_0493_llm_free.txt,-7.79615532,-4.37928853,8.4254011132,-1.067511438
human,human,4000_story_0497.txt,21.27106106,1.357423992,-2.203010763,2.426209757
llm_free,ai,4000_story_0497_llm_free.txt,-11.25296181,-12.74716165,5.4085076096,2.8228311337
